#OTU ID	TestBx10_S39	TestBx11_S40	TestBx12_S41	TestBx13_S42	TestBx15_S43	TestBx16_S44	TestBx17_S45	TestBx18_S46	TestBx19_S47	TestBx20_S49	TestBx21_S50	TestBx22_S51	TestBx24_S52	TestBx25_S53	TestBx26_S54	TestBx27_S55	TestBx29_S56	TestBx2_S48	TestBx32_S58	TestBx33_S59	TestBx3_S57	TestBx4_S60	TestBx9_S61	TestFA10_S62	TestFA11_S63	TestFA12_S64	TestFA13_S65	TestFA15_S66	TestFA16_S67	TestFA17_S68	TestFA18_S69	TestFA19_S70	TestFA20_S72	TestFA21_S73	TestFA22_S74	TestFA24_S75	TestFA25_S76	TestFA26_S77	TestFA27_S78	TestFA29_S79	TestFA2_S71	TestFA32_S81	TestFA33_S82	TestFA3_S80	TestFA4_S83	TestFA9_S84
Environmental Information Processing;Signal Transduction;Phosphatidylinositol signaling system	0.0009141	0.000869387	0.000913759	0.00093797	0.000791423	0.000865593	0.000826615	0.000884157	0.000627767	0.000900272	0.000790396	0.000951034	0.000883862	0.000926201	0.000769846	0.000926208	0.000870742	0.00103025	0.000854147	0.000901761	0.000952661	0.000925463	0.000989707	0.000831152	0.000856575	0.001020589	0.000900021	0.000891252	0.000779193	0.00084903	0.000937595	0.00067695	0.000891072	0.000853537	0.000982354	0.000884378	0.001023936	0.000839093	0.000929619	0.000891614	0.000964687	0.00091709	0.001066223	0.000914149	0.000974449	0.001152233
Environmental Information Processing;Signal Transduction;TGF-beta signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signal Transduction;Two-component system	0.016775131	0.01332716	0.012568954	0.013092658	0.019183915	0.01202494	0.013040139	0.013936649	0.014326035	0.016517368	0.014416637	0.013219917	0.011930946	0.018653239	0.015142103	0.014334645	0.014661397	0.016350589	0.011389075	0.012929635	0.014017966	0.013414854	0.015767652	0.012985091	0.012789035	0.011567931	0.012915588	0.015806232	0.013501871	0.013084483	0.014520755	0.013091138	0.01348974	0.01284954	0.012041626	0.012458817	0.014075044	0.014302095	0.013988525	0.014244297	0.012139389	0.012289116	0.011832063	0.015468738	0.012295276	0.013365926
Environmental Information Processing;Signal Transduction;VEGF signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.20892E-08	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signal Transduction;Wnt signaling pathway	2.0674E-07	0	0	0	3.72838E-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signal Transduction;mTOR signaling pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signaling Molecules and Interaction;Bacterial toxins	0.00119966	0.001189806	0.001276298	0.001136828	0.000852158	0.001297751	0.001167704	0.001289843	0.001399543	0.001070491	0.001044808	0.001203575	0.001319424	0.00171021	0.001458349	0.00114302	0.001160818	0.001234783	0.001403615	0.001263359	0.001187985	0.00116346	0.001308349	0.001306754	0.001153005	0.001121673	0.001208162	0.001133563	0.001381183	0.001165904	0.001271594	0.001436723	0.001254533	0.001029182	0.001320956	0.001494584	0.001361414	0.001859981	0.001104363	0.001145947	0.001163181	0.001251783	0.001179128	0.001207988	0.001163546	0.001223547
Environmental Information Processing;Signaling Molecules and Interaction;CAM ligands	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signaling Molecules and Interaction;Cellular antigens	0.000234598	0.000297149	0.000407399	0.000315777	7.34117E-05	0.000322192	0.000460965	0.000348974	0.000371757	0.000231046	9.76494E-05	0.000347228	0.000565146	0.000906954	0.000432527	0.000408831	0.000540857	0.000446217	0.00084325	0.000654949	0.000445856	0.000320017	0.000557598	0.000259276	0.000341447	3.41229E-05	0.000373358	0.000316937	0.000526234	0.000559176	0.000437762	0.000509639	0.000381513	0.000158248	0.000514069	0.000107503	0.000621276	0.000404434	0.000319312	0.000428691	2.84204E-05	0.000562945	0.000425103	0.000491418	0.000367889	0.000315767
Environmental Information Processing;Signaling Molecules and Interaction;Cytokine receptors	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signaling Molecules and Interaction;Cytokine-cytokine receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signaling Molecules and Interaction;ECM-receptor interaction	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signaling Molecules and Interaction;G protein-coupled receptors	5.1685E-08	0	8.59526E-07	8.21052E-08	7.45675E-08	1.46778E-08	0	0	9.22084E-06	0	0	0	0	1.29089E-08	2.15892E-07	1.30492E-07	0	9.95488E-08	0	1.03101E-06	0	0	0	2.15166E-07	0	0	1.48695E-08	2.95141E-08	0	0	0	1.0559E-06	0	0	0	0	3.88597E-06	7.26158E-08	1.30796E-08	0	0	0	1.16865E-07	0	0	0
Environmental Information Processing;Signaling Molecules and Interaction;GTP-binding proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signaling Molecules and Interaction;Glycan bindng proteins	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Environmental Information Processing;Signaling Molecules and Interaction;Ion channels	0.000297499	0.00020528	0.00018055	0.000217628	0.000275042	0.00020157	0.000203107	0.00031075	0.000222949	0.000256107	0.000165616	0.000220573	0.000353317	0.000450495	0.000336551	0.000219987	0.000271201	0.000434272	0.000480795	0.00036535	0.000295512	0.00021031	0.000318849	0.000152864	0.000243003	8.86751E-05	0.000250625	0.000344282	0.000336435	0.000234203	0.000372685	0.000289334	0.000201245	0.000156411	0.000248747	0.000142837	0.000355936	0.000344108	0.000190308	0.000231344	7.83567E-05	0.000280212	0.000216473	0.00036321	0.000226224	0.000309645
Environmental Information Processing;Signaling Molecules and Interaction;Neuroactive ligand-receptor interaction	0	0	1.32235E-07	0	0	0	0	0	0	0	5.0416E-07	0	0	0	0	0	3.43183E-07	3.98195E-08	0	5.72783E-08	0	0	0	4.78148E-08	0	0	0	0	0	0	0	0	0	1.45071E-07	0	0	4.62615E-08	0	0	2.01959E-07	0	0	0	0	0	8.71047E-08
"Genetic Information Processing;Folding, Sorting and Degradation;Chaperones and folding catalysts"	0.009583892	0.009774278	0.009622828	0.009803967	0.009040605	0.009228572	0.010377109	0.010074101	0.009202922	0.009721539	0.009222563	0.009603618	0.010817398	0.01007979	0.009764381	0.009921742	0.010686732	0.01037577	0.011604808	0.0111327	0.010030376	0.009309259	0.010545757	0.009788901	0.010048815	0.009194065	0.010192834	0.009997946	0.009660356	0.010548111	0.01008593	0.010062127	0.009822931	0.009890636	0.010205824	0.009471433	0.010857835	0.009886929	0.009604688	0.010446043	0.010378721	0.010835326	0.010350424	0.010110298	0.009856099	0.010084344
"Genetic Information Processing;Folding, Sorting and Degradation;Proteasome"	0.000442682	0.000488356	0.000482608	0.000499347	0.000438271	0.000468632	0.000519257	0.000486401	0.000465915	0.000469393	0.000455508	0.000485159	0.000598133	0.000493236	0.000480431	0.000467943	0.000546691	0.000478591	0.000674567	0.000574015	0.000497395	0.000451632	0.000472834	0.000448993	0.000514972	0.000487636	0.000513652	0.00048502	0.000506236	0.000529461	0.000487685	0.00053084	0.000478262	0.000499105	0.000522003	0.000480802	0.000542925	0.000492281	0.000458963	0.000520784	0.000494107	0.00056406	0.00052523	0.000483549	0.000478219	0.000466533
"Genetic Information Processing;Folding, Sorting and Degradation;Protein export"	0.005689171	0.006030622	0.005813771	0.006158661	0.005271813	0.006106136	0.006161593	0.005865983	0.005445843	0.005635306	0.005828654	0.005862777	0.00620289	0.006637798	0.005319983	0.005933654	0.006203041	0.005734527	0.006245357	0.006154298	0.005907462	0.005624948	0.005801669	0.005898776	0.00606967	0.006071185	0.006168582	0.005584304	0.005952498	0.006178176	0.005734705	0.005665324	0.005659822	0.006178403	0.006007622	0.006029013	0.006116047	0.005355777	0.005949412	0.006131651	0.006528823	0.00629734	0.006163415	0.005680763	0.005992921	0.005916697
"Genetic Information Processing;Folding, Sorting and Degradation;Protein processing in endoplasmic reticulum"	0.000582335	0.000709264	0.000674199	0.000702443	0.000517611	0.0006161	0.000756419	0.000765908	0.000671622	0.000583543	0.000535134	0.000694969	0.000974285	0.00130917	0.000709469	0.000711832	0.000923078	0.000911369	0.001147422	0.001001683	0.000780493	0.000645646	0.000820594	0.000653592	0.00076261	0.000492904	0.000756694	0.000807462	0.000778406	0.00082383	0.000836619	0.00082971	0.000685729	0.000616165	0.000842846	0.000556096	0.000962208	0.000662655	0.000684076	0.000824867	0.000506783	0.000868922	0.00080877	0.000818489	0.000731056	0.000796448
"Genetic Information Processing;Folding, Sorting and Degradation;RNA degradation"	0.00456063	0.004582953	0.0044138	0.004479922	0.004409812	0.004460991	0.004796338	0.004821991	0.004514238	0.004598407	0.004315418	0.004444074	0.005046816	0.004374208	0.004448835	0.004565862	0.004981822	0.005067312	0.005315949	0.00514408	0.004555488	0.004226651	0.004775071	0.004495699	0.004673793	0.004162621	0.004726835	0.00483559	0.00469648	0.004811214	0.004791737	0.004844045	0.004570201	0.004556353	0.004718014	0.004590845	0.004930427	0.004551829	0.004403913	0.004851721	0.004550181	0.004963715	0.004742637	0.004659976	0.004479498	0.004772901
"Genetic Information Processing;Folding, Sorting and Degradation;Sulfur relay system"	0.00296005	0.002895985	0.003067435	0.002897476	0.002798147	0.002843675	0.002544952	0.003081385	0.002679216	0.00296603	0.002960867	0.002647648	0.002693141	0.002909732	0.002568393	0.002545502	0.002516736	0.003115339	0.002389364	0.002633256	0.002840358	0.002716236	0.003011504	0.002682097	0.002885862	0.003251068	0.002907017	0.00274822	0.002424958	0.002405063	0.002968073	0.002684489	0.002693132	0.002981039	0.002411453	0.003027968	0.002734548	0.002581073	0.00264527	0.002768517	0.003918781	0.002766572	0.002918649	0.002832419	0.002835012	0.00347463
"Genetic Information Processing;Folding, Sorting and Degradation;Ubiquitin system"	5.16333E-05	6.5707E-05	7.24812E-05	7.57667E-05	1.89029E-05	7.1745E-05	8.33573E-05	0.000125705	7.81897E-05	5.51263E-05	3.19511E-05	6.63065E-05	0.000147245	4.85891E-05	0.000130926	8.48631E-05	0.000118827	0.00019854	0.000238793	0.000175128	0.000121318	6.26066E-05	0.000175227	3.21793E-05	8.24722E-05	1.40528E-05	9.89119E-05	0.00010355	0.000130323	9.70005E-05	0.000153048	0.000131823	7.92838E-05	4.0499E-05	9.6092E-05	3.09245E-05	0.000143087	0.000142127	6.23635E-05	0.000108873	1.87948E-05	0.000138622	0.000113839	0.000152715	6.69528E-05	0.000163931
Genetic Information Processing;Replication and Repair;Base excision repair	0.004001657	0.004027293	0.003926317	0.004064585	0.0039507	0.00412986	0.004155119	0.004130894	0.004053646	0.003966465	0.004163131	0.004035921	0.003988256	0.003734508	0.003999996	0.004155987	0.004193101	0.004510934	0.004058971	0.004241832	0.004080858	0.003982004	0.004287005	0.004291375	0.004035798	0.004047026	0.004230774	0.004296043	0.004107722	0.004169336	0.004152753	0.00407467	0.00411568	0.004260251	0.004138458	0.00407397	0.004277461	0.004156527	0.004118412	0.004245794	0.0040723	0.004165846	0.004249272	0.004124919	0.004045007	0.004381564
Genetic Information Processing;Replication and Repair;Chromosome	0.015363563	0.015227957	0.014350223	0.015006579	0.015609819	0.014708275	0.015510832	0.014742634	0.014256692	0.015692689	0.015072864	0.01466226	0.01524842	0.012960321	0.014007351	0.01540807	0.015303837	0.013618871	0.015253937	0.015169132	0.014357344	0.013848735	0.014377337	0.014986425	0.015256607	0.015514179	0.015027131	0.015249271	0.014245925	0.015475156	0.01415541	0.014519233	0.014861579	0.015895922	0.014911079	0.015304988	0.014933226	0.014275591	0.0153005	0.015179399	0.016735146	0.015426507	0.015018761	0.013977048	0.014506577	0.014226545
Genetic Information Processing;Replication and Repair;DNA repair and recombination proteins	0.026030978	0.027737234	0.026868465	0.027505288	0.02485746	0.027546203	0.02834078	0.027495366	0.026726565	0.02585409	0.026884507	0.026708392	0.028236062	0.023840334	0.025681367	0.027300237	0.027707087	0.027020605	0.02805102	0.028369751	0.026806145	0.025855399	0.026855152	0.027219677	0.02779799	0.027877112	0.027966926	0.027028186	0.026669902	0.028204859	0.026935373	0.027148182	0.026504444	0.028359863	0.027433342	0.027569086	0.027774506	0.025943149	0.027335102	0.027887043	0.029539755	0.028465067	0.028100071	0.026345916	0.026910199	0.027593043
