Group	Sample_type	Staphylococcus	Bifidobacterium	Holdemania	Streptococcus	Diaphorobacter	Acinetobacter	Cloacibacterium	Propionibacterium	Comamonadaceae u/c*	Rhizobiacea u/c*	Blautia	Peptostreptococcaceae I/S*	Lachnospiraceae I/S*	Blautia	Lachnospiraceae u/c*
TestBx24_S52	Bx	0	0	7.491853096	1	2	1	0	0	0	0	5.169925001	0	8.988684687	3.807354922	0
TestBx25_S53	Bx	3.321928095	2.321928095	5.285402219	0	5.209453366	4.584962501	3.906890596	2.807354922	1	0	0	1.584962501	0	0	0
TestBx26_S54	Bx	1.584962501	1.584962501	6.882643049	1	4.459431619	2.807354922	3.700439718	0	0	0	5.977279923	9.87958325	1	5.584962501	0
TestBx27_S55	Bx	3.169925001	5.459431619	3.906890596	2.321928095	6.942514505	5.882643049	6.321928095	2.584962501	0	0	2.807354922	7.303780748	3.807354922	5.672425342	0
TestBx29_S56	Bx	1	0	1	2	4.247927513	2.807354922	3.807354922	0	0	0	2.807354922	0	5.247927513	5.426264755	0
TestBx2_S48	Bx	7.900866808	5.044394119	1.584962501	7.434628228	3.584962501	3.807354922	0	3.169925001	2	2	4.906890596	4.754887502	7.417852515	0	5.614709844
TestBx32_S58	Bx	2.584962501	3.584962501	4	1	4	3.906890596	3.169925001	3	0	0	4.459431619	0	0	0	1
TestBx33_S59	Bx	1	2	4.459431619	2	4.392317423	2.807354922	3.700439718	0	0	0	3.584962501	5.700439718	7.73470962	2	1.584962501
TestBx3_S57	Bx	6.339850003	0	3.321928095	6.189824559	5.781359714	5	3	2.807354922	2.584962501	0	5.584962501	1.584962501	6.95419631	3.906890596	0
TestBx4_S60	Bx	4.857980995	3.321928095	5.491853096	4.584962501	4.459431619	3.906890596	2	0	3.459431619	1.584962501	4.392317423	0	4.459431619	0	0
TestBx9_S61	Bx	8.581200582	0	4.64385619	8.588714636	9.008428622	8.731319031	8.22881869	5.977279923	5.64385619	3.321928095	0	0	4.392317423	0	0
TestFA10_S62	FA	1.584962501	5.209453366	6.209453366	0	0	0	0	0	0	0	10.92851838	4.906890596	0	5.044394119	5.087462841
TestFA11_S63	FA	0	6.62935662	7.189824559	0	0	0	0	0	0	0	4	8.810571635	6.857980995	6.189824559	3.906890596
TestFA12_S64	FA	0	11.14529533	5.807354922	3.169925001	0	0	0	0	0	0	8.487840034	0	0	5.357552005	0
TestFA13_S65	FA	0	5	5.392317423	0	0	0	0	0	0	0	0	0	0	3	5.247927513
TestFA15_S66	FA	0	0	7.714245518	0	0	0	0	0	0	0	7.918863237	8.071462363	8.519636253	0	4.169925001
TestFA16_S67	FA	0	7.906890596	6.87036472	1	0	0	0	0	0	0	0	1	0	0	3
TestFA17_S68	FA	0	0	6.285402219	0	0	0	0	0	0	0	0	0	9.276124405	0	3.459431619
TestFA18_S69	FA	0	4.584962501	6.087462841	1	0	0	0	0	0	0	3.321928095	5.285402219	10.29806257	0	0
TestFA19_S70	FA	0	7.761551232	6.285402219	0	0	0	0	0	0	0	0	0	3.169925001	0	0
TestFA20_S72	FA	1	6.686500527	6.285402219	0	0	0	0	0	0	0	6.845490051	0	0	0	0
TestFA21_S73	FA	0	9.169925001	1.584962501	0	0	0	0	0	0	0	7.672425342	0	0	0	4.247927513
TestFA22_S74	FA	0	4.459431619	7.17990909	0	0	0	0	0	0	0	4	0	3.584962501	0	2
TestFA24_S75	FA	0	0	8.214319121	0	0	0	0	0	0	0	6.686500527	0	9.13442632	0	2
TestFA25_S76	FA	1.584962501	6.475733431	7.189824559	0	1	0	0	0	0	0	0	8.622051819	0	0	0
TestFA26_S77	FA	0	3.169925001	5.882643049	0	0	0	0	0	0	0	0	0	0	0	4.087462841
TestFA27_S78	FA	0	6.22881869	5.285402219	1	1	1.584962501	0	0	0	0	0	0	0	4.64385619	0
TestFA29_S79	FA	0	5.807354922	4.169925001	0	0	0	0	0	0	0	0	4.321928095	0	0	0
TestFA2_S71	FA	0	11.75822321	0	3.700439718	0	1	0	0	0	0	4.247927513	1.584962501	0	0	5.044394119
TestFA32_S81	FA	0	5.392317423	7.54689446	0	0	0	0	0	0	0	0	0	0	0	4.807354922
TestFA33_S82	FA	0	6	5.584962501	0	0	0	0	0	0	0	4.584962501	4.523561956	0	0	4.392317423
TestFA3_S80	FA	0	0	5.882643049	0	0	0	0	0	0	0	0	0	8.14974712	0	4.906890596
TestFA4_S83	FA	0	5.285402219	7.62935662	0	0	0	0	0	0	0	0	0	0	0	0
TestFA9_S84	FA	0	3.169925001	5.584962501	0	0	0	0	0	0	0	0	0	5.285402219	0	7.383704292
